score,date,league,matchup,time,watched
24,2026-04-10,NBA,Detroit Pistons @ Charlotte Hornets,01:00,false
14,2026-04-10,ENG.1,Wolverhampton Wanderers @ West Ham United,21:00,false
23,2026-04-10,NBA,New Orleans Pelicans @ Boston Celtics,01:30,false
22,2026-04-10,NBA,Philadelphia 76ers @ Indiana Pacers,01:30,false
21,2026-04-10,MLB,Pittsburgh Pirates @ Chicago Cubs,20:20,false
21,2026-04-10,MLB,Minnesota Twins @ Toronto Blue Jays,01:07,false
20,2026-04-10,MLB,Chicago White Sox @ Kansas City Royals,01:40,false
21,2026-04-10,MLB,Arizona Diamondbacks @ Philadelphia Phillies,00:40,false
21,2026-04-10,MLB,Miami Marlins @ Detroit Tigers,00:40,false
21,2026-04-10,MLB,Los Angeles Angels @ Cincinnati Reds,00:45,false
11,2026-04-10,GER.1,TSG Hoffenheim @ FC Augsburg,20:30,false
36,2026-04-10,ESP.1,Girona @ Real Madrid,21:00,false
20,2026-04-10,MLB,San Francisco Giants @ Baltimore Orioles,01:15,false
52,2026-04-10,NBA,Miami Heat @ Washington Wizards,01:00,true
21,2026-04-10,MLB,Athletics @ New York Mets,01:10,false
21,2026-04-10,MLB,New York Yankees @ Tampa Bay Rays,01:10,false
21,2026-04-10,MLB,Washington Nationals @ Milwaukee Brewers,01:40,false
24,2026-04-10,NBA,Toronto Raptors @ New York Knicks,01:30,false
24,2026-04-10,FRA.1,AS Monaco @ Paris FC,19:00,false
22,2026-04-10,MLB,Cleveland Guardians @ Atlanta Braves,01:15,false
24,2026-04-10,NBA,Cleveland Cavaliers @ Atlanta Hawks,01:00,false
24,2026-04-10,FRA.1,Metz @ Marseille,21:05,false
22,2026-04-10,ITA.1,Pisa @ AS Roma,20:45,false
17,2026-04-11,NHL,Florida Panthers @ Toronto Maple Leafs,01:00,false
22,2026-04-11,ESP.1,Espanyol @ Barcelona,18:30,false
20,2026-04-11,ESP.1,Atlético Madrid @ Sevilla,21:00,false
17,2026-04-11,ENG.1,Fulham @ Liverpool,18:30,false
11,2026-04-11,GER.1,Bayern Munich @ St. Pauli,18:30,false
21,2026-04-11,MLB,Pittsburgh Pirates @ Chicago Cubs,20:20,false
18,2026-04-11,NHL,Carolina Hurricanes @ Utah Mammoth,23:00,false
21,2026-04-11,MLB,Minnesota Twins @ Toronto Blue Jays,21:07,false
20,2026-04-11,MLB,Chicago White Sox @ Kansas City Royals,22:10,false
8,2026-04-11,ITA.1,Udinese @ AC Milan,18:00,false
21,2026-04-11,MLB,Athletics @ New York Mets,22:10,false
21,2026-04-11,MLB,New York Yankees @ Tampa Bay Rays,00:10,false
11,2026-04-11,GER.1,Bayer Leverkusen @ Borussia Dortmund,15:30,false
21,2026-04-11,MLB,Washington Nationals @ Milwaukee Brewers,01:10,false
18,2026-04-11,NHL,Washington Capitals @ Pittsburgh Penguins,21:00,false
22,2026-04-11,MLB,Cleveland Guardians @ Atlanta Braves,01:15,false
14,2026-04-11,ENG.1,Brighton & Hove Albion @ Burnley,16:00,false
8,2026-04-11,GER.1,1. FC Union Berlin @ 1. FC Heidenheim 1846,15:30,false
8,2026-04-11,ITA.1,Juventus @ Atalanta,20:45,false
18,2026-04-11,NHL,Philadelphia Flyers @ Winnipeg Jets,01:00,false
10,2026-04-11,GER.1,Borussia Mönchengladbach @ RB Leipzig,15:30,false
6,2026-04-11,ITA.1,Hellas Verona @ Torino,15:00,false
21,2026-04-11,MLB,Arizona Diamondbacks @ Philadelphia Phillies,19:05,false
18,2026-04-11,NHL,Edmonton Oilers @ Los Angeles Kings,22:00,false
18,2026-04-11,NHL,Ottawa Senators @ New York Islanders,19:00,false
18,2026-04-11,NHL,New Jersey Devils @ Detroit Red Wings,23:00,false
17,2026-04-11,NHL,St. Louis Blues @ Chicago Blackhawks,23:00,false
21,2026-04-11,MLB,Miami Marlins @ Detroit Tigers,19:10,false
21,2026-04-11,MLB,Los Angeles Angels @ Cincinnati Reds,22:10,false
18,2026-04-11,NHL,Tampa Bay Lightning @ Boston Bruins,18:30,false
9,2026-04-11,GER.1,Eintracht Frankfurt @ VfL Wolfsburg,15:30,false
7,2026-04-11,FRA.1,Nantes @ AJ Auxerre,19:00,false
6,2026-04-11,ITA.1,Cremonese @ Cagliari,15:00,false
18,2026-04-11,NHL,Columbus Blue Jackets @ Montreal Canadiens,01:00,false
17,2026-04-11,ENG.1,Everton @ Brentford,16:00,false
21,2026-04-11,MLB,Boston Red Sox @ St. Louis Cardinals,01:15,false
19,2026-04-11,ESP.1,Alavés @ Real Sociedad,14:00,false
18,2026-04-11,NHL,Minnesota Wild @ Nashville Predators,23:00,false
48,2026-04-11,ESP.1,Valencia @ Elche,16:15,true
20,2026-04-11,MLB,San Francisco Giants @ Baltimore Orioles,01:15,false
18,2026-04-11,NHL,New York Rangers @ Dallas Stars,23:00,false
17,2026-04-11,NHL,Calgary Flames @ Seattle Kraken,01:00,false
16,2026-04-11,ENG.1,AFC Bournemouth @ Arsenal,13:30,false
9,2026-04-11,FRA.1,Angers @ Stade Rennais,21:05,false
24,2026-04-12,NBA,Charlotte Hornets @ New York Knicks,00:00,false
